epoch,train_loss,val_loss,train_acc,val_acc,val_top5,lr
1,3.7520459384546934,1.9529930000685378,0.21992130875957755,0.48421926910299,0.8064784053156147,0.0009997532801828658
2,1.2400046301865633,1.308927114223721,0.6610064195485608,0.6312292358803987,0.8878737541528239,0.0009990133642141358
3,0.5120405551191936,1.3207489105554118,0.8595982605094222,0.6403654485049833,0.8853820598006644,0.00099778098230154
4,0.2655714379442629,1.3738689066167686,0.9256574860219507,0.643687707641196,0.8795681063122923,0.000996057350657239
5,0.17121527415423887,1.3984140529981086,0.9521640091116174,0.6619601328903655,0.8745847176079734,0.0009938441702975688
6,0.11511067040442038,1.3874106054686233,0.9712155725823152,0.6661129568106312,0.8928571428571429,0.0009911436253643444
7,0.09294281417720342,1.489026851432268,0.9728722302754194,0.6669435215946844,0.8803986710963455,0.0009879583809693738
8,0.08251782830323978,1.3789450888617887,0.9782563677780078,0.696843853820598,0.8986710963455149,0.0009842915805643156
9,0.0695009065881066,1.4052115761956503,0.9819838475874922,0.6960132890365448,0.8961794019933554,0.0009801468428384716
10,0.045140856588643134,1.3661133074681229,0.9886104783599089,0.6976744186046512,0.909468438538206,0.0009755282581475768
11,0.043826313806995885,1.5410743250799337,0.9892317249948229,0.675249169435216,0.8887043189368771,0.0009704403844771128
12,0.05239155304267753,1.5993811232703072,0.9832263408573203,0.6794019933554817,0.8820598006644518,0.0009648882429441257
13,0.056986937145275356,1.672624061273974,0.9857113273969766,0.6719269102990033,0.8770764119601329,0.0009588773128419905
14,0.04494874757230683,1.6398686229984625,0.9881963139366329,0.6810631229235881,0.8787375415282392,0.0009524135262330098
15,0.04100344721308886,1.5809890257559742,0.9879892317249949,0.6744186046511628,0.8887043189368771,0.0009455032620941839
16,0.02541049044136846,1.3460468952837972,0.9935804514392214,0.7200996677740864,0.9028239202657807,0.0009381533400219318
17,0.022264682672197316,1.4986683268879735,0.9937875336508594,0.7018272425249169,0.8961794019933554,0.0009303710135019718
18,0.027349195266047985,1.6598766341161886,0.9921308759577552,0.6694352159468439,0.8762458471760798,0.0009221639627510075
19,0.043465692527572125,1.5245037490743338,0.9881963139366329,0.6868770764119602,0.8911960132890365,0.0009135402871372809
20,0.039185550529027634,1.6477309524814947,0.989645889418099,0.6769102990033222,0.8853820598006644,0.0009045084971874737
21,0.03785064240671088,1.8106129106097046,0.9884033961482709,0.6677740863787376,0.877906976744186,0.0008950775061878452
22,0.043471918304617246,1.633802247601886,0.9861254918202527,0.6818936877076412,0.8853820598006644,0.0008852566213878947
23,0.03356325251134573,1.5920913718467535,0.9915096293228411,0.6976744186046512,0.8970099667774086,0.0008750555348152298
24,0.017436888949514718,1.477995036052311,0.9954441913439636,0.7134551495016611,0.8945182724252492,0.0008644843137107057
