epoch,train_loss,val_loss,train_acc,val_acc,val_top5,lr
1,0.2565206796120637,5.297144151605245,0.007869124042244772,0.006644518272425249,0.0340531561461794,0.0002
2,0.03778895505388273,5.29615318577155,0.009318699523710913,0.0049833887043189366,0.03239202657807309,0.0003
3,0.03259684668102109,5.293361033316071,0.02112238558707807,0.005813953488372093,0.036544850498338874,0.0004
4,0.031374569647484724,5.286832232807958,0.050735141851314974,0.007475083056478406,0.04817275747508306,0.0005
5,0.029900918330331476,5.273267720624854,0.09215158417891903,0.014950166112956811,0.07308970099667775,0.0005
6,0.02685084607051776,5.247618055818881,0.15655415199834335,0.03820598006644518,0.1287375415282392,0.0004998633143352315
7,0.023605532388378928,5.205304798493749,0.24456409194450196,0.0872093023255814,0.23338870431893688,0.0004994534068046936
8,0.02202678089901623,5.146265673082929,0.29012217850486643,0.15033222591362128,0.36794019933554817,0.0004987707256362529
9,0.019823366657499633,5.06910840538253,0.37191965210188443,0.22508305647840532,0.4867109634551495,0.0004978160173317438
10,0.018480186619298088,4.9740928716437764,0.41996272520190514,0.29817275747508304,0.5930232558139535,0.0004965903258506806
11,0.01700367682996646,4.860340487521352,0.4648995651273556,0.3596345514950166,0.6769102990033222,0.0004950949914687023
12,0.016069380300330508,4.728086816908117,0.4982398012010768,0.4111295681063123,0.7367109634551495,0.0004933316493120015
13,0.01399678443430262,4.57741703147508,0.5742389728722302,0.46677740863787376,0.7915282392026578,0.0004913022275693372
14,0.014145718559200014,4.410097885765507,0.5688548353696418,0.5224252491694352,0.8305647840531561,0.0004890089453835894
15,0.012978971443821935,4.227351027073654,0.6266307724166494,0.5622923588039868,0.8496677740863787,0.00048645431042515866
16,0.01148155355372027,4.031105434379705,0.6690826258024436,0.5863787375415282,0.8687707641196013,0.0004836411161498652
17,0.011500817241614269,3.82729564711105,0.6473389935804514,0.6146179401993356,0.8853820598006644,0.0004805724387443462
18,0.010814251939498611,3.6169545175229194,0.6955891488921102,0.6461794019933554,0.8945182724252492,0.00047725163376229063
19,0.010629481719689145,3.403680436238894,0.6879271070615034,0.6710963455149501,0.9119601328903655,0.0004736823324551909
20,0.010602794407866316,3.1897346886289477,0.693104162352454,0.6976744186046512,0.920265780730897,0.00046986843780162223
21,0.01047988340210769,2.9805575027022253,0.7063574238972872,0.7126245847176079,0.9302325581395349,0.0004658141202393935
22,0.009825417198754537,2.7753800371556583,0.7262373162145371,0.7275747508305648,0.9352159468438538,0.00046152381310523384
23,0.009307853974263864,2.5842060678425027,0.7599917167115344,0.7383720930232558,0.9377076411960132,0.000457002207787005
24,0.008897188466642461,2.4050151184943824,0.7539863325740319,0.7491694352159468,0.9418604651162791,0.0004522542485937369
25,0.010235504067309477,2.2445452973692124,0.7067715883205633,0.7583056478405316,0.9476744186046512,0.00044728512734909845
26,0.00910365297660605,2.1015633182272166,0.7425968109339408,0.7674418604651163,0.9534883720930233,0.0004421002777142148
