model,top1,macro_acc,dir
ResNet-50,0.7757475083056479,0.7715595238095239,outputs\resnet50\baseline\2nd\test
EffNet-B3,0.8230897009966778,0.8224345238095239,outputs\efficientnet_b3\baseline\3rd\test
